0,174,8
0,413,137
1,281,3
2,39,2
2,40,81
2,181,6
2,290,221
2,393,5
3,119,4
3,147,5
3,185,40
3,220,96
3,280,14
3,311,3
3,345,30
3,409,2
3,571,1
4,223,7
4,597,38
5,25,79
5,330,17
5,492,1
6,591,1
7,340,21
7,449,15
7,475,9
8,532,1
9,11,3
10,11,44
10,23,3
10,203,3
10,399,113
11,97,2
11,183,1
11,394,5
11,399,63
11,405,12
11,426,4
11,467,29
11,471,5
11,523,4
11,557,2
12,342,28
13,48,10
13,84,24
13,185,3
13,280,3
13,337,2
13,405,5
13,535,7
14,461,2
15,600,2
16,229,1
16,395,48
16,459,68
17,38,24
17,477,30
18,19,875
18,356,22
20,517,8
20,531,9
21,42,89
21,393,2
22,69,20
23,113,1
23,203,8
23,365,17
23,579,4
24,198,7
25,94,1
25,278,8
25,303,20
25,492,7
26,258,14
26,285,9
26,410,2
27,210,3
28,65,10
28,230,10
28,325,1
29,201,111
29,565,9
30,36,17
31,32,242
31,326,55
31,367,4
31,413,102
31,421,49
32,58,26
32,249,65
32,283,3
32,308,4
32,543,4
33,216,1
34,100,7
34,212,5
34,268,3
34,357,1
34,367,2
34,438,3
34,495,180
34,564,3
35,349,3
35,374,2
37,38,19
37,361,1
37,392,23
37,413,7
37,558,20
38,269,1
38,361,116
39,40,321
39,393,12
40,63,13
40,142,57
40,238,16
40,290,25
41,463,10
42,64,39
42,527,3
43,91,2
43,155,1
43,185,17
43,214,1
43,243,25
43,244,2
43,262,3
43,292,5
43,303,2
43,339,1
43,380,4
43,414,1
43,435,1
43,519,3
43,551,2
44,221,3
44,223,2
45,195,11
45,413,40
46,408,13
47,135,14
47,136,1
47,250,1
47,382,1
47,400,11
48,114,9
48,185,1
48,535,19
48,563,4
49,353,12
49,463,21
50,227,51
51,297,12
52,402,19
52,599,10
53,74,4
53,75,22
53,170,11
53,451,1
54,211,4
55,367,2
55,404,4
56,588,46
57,262,6
57,379,9
58,110,5
58,125,5
58,155,6
58,218,1
58,222,9
58,249,13
59,479,17
60,476,4
61,62,1
61,124,3
61,292,8
62,112,28
62,174,1
63,87,1
63,181,18
63,378,6
64,128,26
64,185,2
64,278,3
64,518,2
65,471,32
66,99,5
66,167,27
67,572,2
68,218,1
68,306,1
68,370,1
70,184,4
71,89,57
71,359,28
71,417,19
71,535,2
72,210,12
72,262,20
72,308,9
72,384,1
72,399,1
72,407,5
72,461,15
72,499,1
72,528,5
73,277,22
74,75,843
74,291,41
74,380,20
74,382,20
74,393,4
75,515,6
76,217,1
76,301,6
76,314,30
76,456,13
76,511,1
76,539,4
77,389,452
77,454,1
78,131,15
78,336,17
79,101,1
79,143,14
79,217,8
79,321,1
79,444,57
79,479,8
79,509,32
80,92,14
80,158,10
80,252,2
80,378,3
80,467,3
80,583,45
81,116,41
81,270,9
81,464,29
82,341,25
82,401,13
83,439,7
84,148,25
84,182,32
84,185,1
84,248,7
84,280,7
84,405,2
84,411,9
84,445,3
84,457,19
84,571,29
85,241,1
86,297,133
86,449,6
